t_1,N_1
0.0,100
1e-05,97
2e-05,95
3.0000000000000004e-05,88
4e-05,83
5e-05,81
6e-05,79
7.000000000000001e-05,78
8e-05,77
9e-05,75
0.0001,72
0.00012,69
0.00013000000000000002,67
0.00014000000000000001,66
0.00015000000000000001,65
0.00017,64
0.00019,63
0.0002,61
0.00021,60
0.00022,57
0.00026000000000000003,56
0.00027000000000000006,53
0.0002800000000000001,52
0.0002900000000000001,51
0.00030000000000000014,50
0.0003200000000000002,49
0.00039000000000000037,48
0.0004300000000000005,47
0.00045000000000000053,46
0.00046000000000000056,45
0.0004800000000000006,44
0.0005000000000000007,43
0.0005400000000000008,42
0.0005500000000000008,41
0.0005900000000000009,40
0.000640000000000001,39
0.0007500000000000013,36
0.0008100000000000015,35
0.0009300000000000018,34
0.001040000000000002,33
0.001050000000000002,32
0.0010700000000000022,31
0.0011600000000000024,30
0.001420000000000003,29
0.0016400000000000037,28
0.0017300000000000039,27
0.0023500000000000053,26
0.0028500000000000066,25
0.003070000000000007,24
0.003320000000000008,23
0.004169999999999998,22
0.005079999999999961,21
0.006239999999999914,20
0.006699999999999895,19
0.00855999999999982,18
0.014139999999999592,17
0.07606000000000321,16
0.1661600000000254,15
0.5296200000002245,14
0.9080099999985024,13
0.9925799999981175,12
90.31844001746879,11
