t_1,N_1
0.0,100
5.999999999999999e-06,99
1e-05,97
1.3000000000000003e-05,96
1.6000000000000003e-05,95
1.8000000000000004e-05,94
2.3000000000000007e-05,93
2.700000000000001e-05,92
2.800000000000001e-05,90
3.2000000000000005e-05,88
3.4e-05,87
3.699999999999999e-05,85
3.799999999999999e-05,84
3.8999999999999986e-05,83
4.2999999999999975e-05,82
4.399999999999997e-05,81
5.099999999999995e-05,80
5.3999999999999944e-05,79
5.899999999999993e-05,78
6.299999999999992e-05,77
6.399999999999992e-05,75
6.499999999999991e-05,74
6.699999999999991e-05,73
7.19999999999999e-05,71
7.499999999999989e-05,70
7.699999999999988e-05,69
8.699999999999985e-05,68
8.999999999999984e-05,67
0.0001029999999999998,66
0.0001049999999999998,65
0.0001059999999999998,64
0.00011899999999999976,63
0.00012099999999999976,62
0.00012699999999999975,60
0.00012799999999999975,59
0.00013099999999999974,58
0.00013599999999999973,57
0.00015799999999999967,56
0.00015899999999999966,55
0.0001789999999999996,54
0.0001839999999999996,53
0.00019899999999999955,52
0.00022299999999999948,51
0.00022799999999999947,50
0.0002469999999999995,49
0.00024999999999999957,48
0.0002589999999999998,47
0.00026499999999999994,46
0.0003040000000000009,45
0.00030700000000000096,44
0.00031000000000000103,43
0.0003300000000000015,42
0.00036000000000000225,41
0.00043900000000000417,40
0.00047200000000000497,39
0.0005110000000000059,38
0.000513000000000006,37
0.0005250000000000063,35
0.0007990000000000129,34
0.0010120000000000142,33
0.0010720000000000091,32
0.001168000000000001,31
0.0014109999999999806,30
0.0014359999999999785,29
0.001583999999999966,28
0.001608999999999964,27
0.0019239999999999375,26
0.0024019999999999944,25
0.002685000000000032,24
0.0028030000000000476,23
0.00289600000000006,22
0.0030350000000000784,21
0.003053000000000081,20
0.003978000000000204,19
0.00410200000000022,18
0.01586199999999521,17
0.04298300000002233,16
0.059198000000038546,15
0.1871540000001665,14
0.40533099999607336,13
11.770614997942388,12
