lf,beta,T_time_(ns)
1.5, 0.1,269235674308
1.5, 0.1,292334076300
1.5, 0.1,306702935143
1.5, 0.1,312234901760
1.5, 0.1,312762701030
1.5, 0.1,363274251975
1.5, 0.1,370144079503
1.5, 0.1,390923775783
1.5, 0.1,396519993056
1.5, 0.1,401599451173
1.5, 0.1,410650543166
1.5, 0.1,411589420265
1.5, 0.1,415036924493
1.5, 0.1,415211145221
1.5, 0.1,418348534619
1.5, 0.1,419966370574
1.5, 0.1,426493083523
1.5, 0.1,428448022162
1.5, 0.1,430634365065
1.5, 0.1,432844877162
1.5, 0.1,436343803412
1.5, 0.1,440784155268
1.5, 0.1,440887519933
1.5, 0.1,441544019254
1.5, 0.1,442037716178
1.5, 0.1,456198609793
1.5, 0.1,458343987480
1.5, 0.1,459467781829
1.5, 0.1,464198768983
1.5, 0.1,472660412404
1.5, 0.1,473809573730
1.5, 0.1,482205450526
1.5, 0.1,483056254324
1.5, 0.1,484341126800
1.5, 0.1,495638084759
1.5, 0.1,502661579561
1.5, 0.1,504535976035
1.5, 0.1,509365852191
1.5, 0.1,511424681437
1.5, 0.1,511477807418
1.5, 0.1,513604183589
1.5, 0.1,514024226157
1.5, 0.1,519195906906
1.5, 0.1,519947659674
1.5, 0.1,521169525966
1.5, 0.1,527290504526
1.5, 0.1,533161043379
1.5, 0.1,537130827434
1.5, 0.1,563698576204
1.5, 0.1,601422336821
1.5, 1.0,1505924565997
1.5, 1.0,1573700837912
1.5, 1.0,1595075221472
1.5, 1.0,1639275989198
1.5, 1.0,1631824782486
1.5, 1.0,1695190442880
1.5, 1.0,1703357094516
1.5, 1.0,1807600772016
1.5, 1.0,1901359448732
1.5, 1.0,2013195373735
1.5, 1.0,1986213229277
1.5, 1.0,2178234842793
1.5, 1.0,2258631235611
1.5, 1.0,2346487779386
1.5, 1.0,2326970556910
1.5, 1.0,2357665266422
1.5, 1.0,2379933438553
1.5, 1.0,2383786214220
1.5, 1.0,2391220581556
1.5, 1.0,2284908375114
1.5, 1.0,2380973159492
1.5, 1.0,2359614134799
1.5, 1.0,2406495452670
1.5, 1.0,2369377954245
1.5, 1.0,2357731116123
1.5, 1.0,2492915809637
1.5, 1.0,2420847418589
1.5, 1.0,2390722146462
1.5, 1.0,2477134569845
1.5, 1.0,2489311617885
1.5, 1.0,2520667981346
1.5, 1.0,2447340663173
1.5, 1.0,2447111757307
1.5, 1.0,2402854520297
1.5, 1.0,2530863885538
1.5, 1.0,2444700688938
1.5, 1.0,2450987505450
1.5, 1.0,2509911635321
1.5, 1.0,2502593536866
1.5, 1.0,2508905834190
1.5, 1.0,2569875180849
1.5, 1.0,2554906986689
1.5, 1.0,2550818559255
1.5, 1.0,2603354176965
1.5, 1.0,2609821402309
1.5, 1.0,2725914535830
1.5, 1.0,2598747866673
1.5, 1.0,2737985910391
1.5, 1.0,2935724657723
1.5, 1.0,2929181579414
1.5, 3.0,3080259775383
3.0, 0.1,300191642017
1.5, 3.0,3428207117458
1.5, 3.0,3253344124149
1.5, 3.0,3201274178049
1.5, 3.0,3408704419547
1.5, 3.0,3296666514377
1.5, 3.0,3405404431777
3.0, 0.1,265785500536
3.0, 0.1,290440238675
3.0, 0.1,298471889440
3.0, 0.1,297851626760
3.0, 0.1,302062001202
3.0, 0.1,285366642156
1.5, 3.0,3761276420391
1.5, 3.0,3175120372426
3.0, 0.1,291693782690
1.5, 3.0,4040784548758
1.5, 3.0,3435828370622
1.5, 3.0,3606832487374
1.5, 3.0,3664540361900
1.5, 3.0,3679893440253
3.0, 0.1,330050305997
1.5, 3.0,3711905349915
3.0, 1.0,1369460816064
1.5, 3.0,3641871592212
1.5, 3.0,3626179239212
1.5, 3.0,3717078434590
1.5, 3.0,3734376079723
1.5, 3.0,3704948311257
3.0, 0.1,295080444776
1.5, 3.0,3939558283627
3.0, 0.1,402467578205
3.0, 0.1,289052517910
1.5, 3.0,3931955641787
3.0, 1.0,1195134610863
3.0, 1.0,1139990643874
1.5, 3.0,3960939029465
1.5, 3.0,3808594148303
3.0, 0.1,336924220047
3.0, 0.1,319102835678
1.5, 3.0,3639723099787
1.5, 3.0,4257975883201
