lf,beta,T_time_(ns)
1.5, 0.1,281808012215
1.5, 0.1,287352943854
1.5, 0.1,290200140083
1.5, 0.1,292168107085
1.5, 0.1,297566231706
1.5, 0.1,301360771378
1.5, 0.1,305010648347
1.5, 0.1,301404526218
1.5, 0.1,307150716061
1.5, 0.1,307863318046
1.5, 0.1,304923903447
1.5, 0.1,310486405696
1.5, 0.1,312200975496
1.5, 0.1,309230170555
1.5, 0.1,314232326336
1.5, 0.1,314539054770
1.5, 0.1,316580809425
1.5, 0.1,313923063510
1.5, 0.1,317922866411
1.5, 0.1,317848736394
1.5, 0.1,322520196286
1.5, 0.1,319391931888
1.5, 0.1,324051345699
1.5, 0.1,320599002480
1.5, 0.1,320619837010
1.5, 0.1,320631713370
1.5, 0.1,325669175478
1.5, 0.1,326084215740
1.5, 0.1,326602123910
1.5, 0.1,322653943217
1.5, 0.1,322945756369
1.5, 0.1,327031404518
1.5, 0.1,327997294430
1.5, 0.1,325071510898
1.5, 0.1,328961068111
1.5, 0.1,329814890916
1.5, 0.1,326559240103
1.5, 0.1,326823306199
1.5, 0.1,332004375282
1.5, 0.1,328985630302
1.5, 0.1,329196973334
1.5, 0.1,333153658490
1.5, 0.1,333241433050
1.5, 0.1,333935166136
1.5, 0.1,334284993736
1.5, 0.1,330598148890
1.5, 0.1,337431323104
1.5, 0.1,338326674900
1.5, 0.1,338513938222
1.5, 0.1,335079374318
1.5, 0.1,340453707757
1.5, 0.1,337293657415
1.5, 0.1,337207975487
1.5, 0.1,343103310667
1.5, 0.1,344049018430
1.5, 0.1,344017923788
1.5, 0.1,345071855568
1.5, 0.1,345836768133
1.5, 0.1,346343762339
1.5, 0.1,346489529178
1.5, 0.1,347598730559
1.5, 0.1,348883227806
1.5, 0.1,349573470711
1.5, 0.1,347541433578
1.5, 0.1,348362142192
1.5, 0.1,349109944537
1.5, 0.1,353248172970
1.5, 0.1,350923194788
1.5, 0.1,355785785354
1.5, 0.1,356203961705
1.5, 0.1,357078389414
1.5, 0.1,357744164886
1.5, 0.1,354064965834
1.5, 0.1,355436517729
1.5, 0.1,355773949111
1.5, 0.1,355721286371
1.5, 0.1,360066658412
1.5, 0.1,360958306740
1.5, 0.1,361806176281
1.5, 0.1,362617212934
1.5, 0.1,362534007835
1.5, 0.1,363396903606
1.5, 0.1,363823495713
1.5, 0.1,364027189819
1.5, 0.1,360659123704
1.5, 0.1,360887494053
1.5, 0.1,362113084148
1.5, 0.1,366403357812
1.5, 0.1,366762850637
1.5, 0.1,367578413452
1.5, 0.1,364368075504
1.5, 0.1,368767728318
1.5, 0.1,365360561005
1.5, 0.1,366369578908
1.5, 0.1,370568586686
1.5, 0.1,370906524675
1.5, 0.1,370681731752
1.5, 0.1,371324319262
1.5, 0.1,371329617746
1.5, 0.1,369346700470
1.5, 0.1,374492804789
1.5, 0.1,376082107661
1.5, 0.1,373752179786
1.5, 0.1,375090722406
1.5, 0.1,375732260648
1.5, 0.1,379614951179
1.5, 0.1,383460575752
1.5, 0.1,380772374450
1.5, 0.1,383789604660
1.5, 0.1,388917137994
1.5, 0.1,390110858091
1.5, 0.1,391035812896
1.5, 0.1,388225081608
1.5, 0.1,394568848087
1.5, 0.1,397353993302
1.5, 0.1,397107275538
1.5, 0.1,397878735127
1.5, 0.1,395617834641
1.5, 0.1,396236410726
1.5, 0.1,409414773555
1.5, 0.1,409397866016
1.5, 0.1,410970112730
1.5, 0.1,412836523344
1.5, 0.1,413839895333
1.5, 0.1,416500712328
1.5, 0.1,419141341964
1.5, 0.1,416107558316
1.5, 0.1,418023811201
1.5, 0.1,418158849411
1.5, 0.1,427690411326
1.5, 0.1,433614417293
1.5, 0.1,430395769557
1.5, 0.1,436063141891
1.5, 0.1,436117528942
1.5, 0.1,438275072188
1.5, 0.1,437106578273
1.5, 0.1,450222252346
1.5, 0.1,451786070286
1.5, 0.1,456042455318
1.5, 0.1,457353300122
1.5, 0.1,465865338554
1.5, 0.1,470900307181
1.5, 0.1,467766331019
1.5, 0.1,479657493554
1.5, 0.1,482125325466
1.5, 0.1,493137070820
1.5, 0.1,529121930052
1.5, 0.1,530907435648
1.5, 0.1,668080873632
1.5, 0.1,718647465359
1.5, 1.0,1455946047288
1.5, 1.0,1627197525225
1.5, 1.0,1623836547137
1.5, 1.0,1599264005066
1.5, 1.0,1603876410093
1.5, 1.0,1630484836848
1.5, 1.0,1683246516276
1.5, 1.0,1693291430699
1.5, 1.0,1681408465024
1.5, 1.0,1679340860048
1.5, 1.0,1704663843694
1.5, 1.0,1755190651341
1.5, 1.0,1728104280685
1.5, 1.0,1725178647985
1.5, 1.0,1711016618424
1.5, 1.0,1723387646478
1.5, 1.0,1691208780131
1.5, 1.0,1708039369685
1.5, 1.0,1717943795536
1.5, 1.0,1713493698570
1.5, 1.0,1723320135672
1.5, 1.0,1681991915543
1.5, 1.0,1762656133652
1.5, 1.0,1720046344222
1.5, 1.0,1715838641554
1.5, 1.0,1763917325459
1.5, 1.0,1734008105882
1.5, 1.0,1786369454758
1.5, 1.0,1739839987576
1.5, 1.0,1760681114905
1.5, 1.0,1681730447120
1.5, 1.0,1785658088429
1.5, 1.0,1777033696189
1.5, 1.0,1790842241955
1.5, 1.0,1746915447516
1.5, 1.0,1775110239871
1.5, 1.0,1744590372193
1.5, 1.0,1772333822859
1.5, 1.0,1796234390787
1.5, 1.0,1788792666745
1.5, 1.0,1755536991551
1.5, 1.0,1714065351977
1.5, 1.0,1792435605822
1.5, 1.0,1753284799376
1.5, 1.0,1798891535196
1.5, 1.0,1804903499686
1.5, 1.0,1772687743442
1.5, 1.0,1807852568868
1.5, 1.0,1824254265895
1.5, 1.0,1771915990011
1.5, 1.0,1771893462619
1.5, 1.0,1792775274535
1.5, 1.0,1782741434047
1.5, 1.0,1790224535374
1.5, 1.0,1796230791388
1.5, 1.0,1808469803137
1.5, 1.0,1799458671630
1.5, 1.0,1799459898064
1.5, 1.0,1740561108142
1.5, 1.0,1766041195135
1.5, 1.0,1801792051798
1.5, 1.0,1796696115131
1.5, 1.0,1836178759271
1.5, 1.0,1792176650074
1.5, 1.0,1757984118282
1.5, 1.0,1819514960433
1.5, 1.0,1841862347475
1.5, 1.0,1809672126298
1.5, 1.0,1785578122836
1.5, 1.0,1822801166491
1.5, 1.0,1791700942804
1.5, 1.0,1851749541856
1.5, 1.0,1857398295521
1.5, 1.0,1874275831026
1.5, 1.0,1845295550790
1.5, 1.0,1815054465901
1.5, 1.0,1835834171176
1.5, 1.0,1877790699936
1.5, 1.0,1905877249685
1.5, 1.0,1858055561397
1.5, 1.0,1887529338980
1.5, 1.0,1881472645268
1.5, 1.0,1844668557738
1.5, 1.0,1856638763162
1.5, 1.0,1896618574220
1.5, 1.0,1880848428463
1.5, 1.0,1939805889456
1.5, 1.0,1904489511916
1.5, 1.0,1851898773169
1.5, 1.0,1863540954687
1.5, 1.0,1813321763666
1.5, 1.0,1892606974498
1.5, 1.0,1907903510682
1.5, 1.0,1875324845458
1.5, 1.0,1917858577542
