,lf,beta,Mean_t(min)_50,Std_t(min)_50,Mean_t(min)_100,Std_t(min)_100,Mean_t(min)_150,Std_t(min)_150
0,4.0,0.8,1.9365487800056667,0.1342714332952761,1.9092768255203334,0.345438703839677,1.8736881078793333,0.26823017229476587
1,4.0,1.8,1.943134160572449,0.12739070215610693,1.9136693674690237,0.34438900670242295,1.8762033766190158,0.26735988373487773
2,4.0,3.0,1.9482503853114583,0.12362795174022391,1.917946836787415,0.34351514237123415,1.8785210904228604,0.26676561143349864
3,4.0,4.0,1.953231792929078,0.12007483889456275,1.9221122020883161,0.34281022295402075,1.8807185081367348,0.2663331750765896
4,5.0,0.8,2.5141633183423333,0.5987794333293569,2.645912834096917,0.8865924768088429,2.589268264399889,0.8365332570578378
5,5.0,1.8,2.5232572394141415,0.5948852441180165,2.651799757019012,0.8849096160855044,2.592914937305351,0.8355470369202831
6,5.0,3.0,2.5316827686622445,0.5920064151438676,2.657644819558165,0.883301260081396,2.59647108899547,0.8346857974651306
7,5.0,4.0,2.5401112072331613,0.5891713878688484,2.66345059832445,0.8817639310260076,2.599976039845679,0.8338976785188418
8,6.0,0.8,3.194135939616,1.0882231924788557,3.4099011109194444,1.400203640525007,3.3306219554573335,1.3252990466460297
9,6.0,1.8,3.20474178396085,1.0841148356867467,3.4163743080375695,1.3980545918336684,3.3347014852786936,1.3239487348693577
10,6.0,3.0,3.214925475926126,1.0806450837698285,3.4228236266072707,1.3959509437506616,3.338722734724293,1.3226837534581213
11,6.0,4.0,3.225135008229819,1.0771774501849316,3.429250957327834,1.3938901295802666,3.3427120457941832,1.3214675261421889
12,7.0,0.8,3.7547239771020835,1.365124865530151,4.0590967206955,1.7300307595242186,3.93403734471775,1.6100051005201226
13,7.0,1.8,3.765482061749665,1.3600673785471187,4.06557461931228,1.7273454865630071,3.938102660709488,1.6082685576783111
14,7.0,3.0,3.775926135934764,1.3555142771381903,4.072034662641541,1.7246936215479078,3.942124267610925,1.6066005200247457
15,7.0,4.0,3.7863921354710657,1.3509469272823138,4.078478310651721,1.7220730252714358,3.946121962051675,1.6049709708936581
16,8.0,0.8,3.3349039912523337,1.482648462215831,3.6089085638132334,1.7971446832386866,3.5013357690543776,1.6857632729267586
17,8.0,1.8,3.341815793898996,1.4815976200036882,3.613186105679392,1.7963999368501868,3.5040092306076325,1.6852986048238139
18,8.0,3.0,3.3484458762409277,1.4808907131694264,3.6174405408830324,1.7956894913797812,3.50664402672656,1.6848824343009128
19,8.0,4.0,3.3550625630788127,1.480222423422608,3.6216730039379277,1.7950118757982119,3.5092559990695893,1.6844957610185292
