lf,beta,T_time_(ns)
4.0, 0.8,96831907934
4.0, 0.8,101853322386
4.0, 0.8,102847453637
4.0, 0.8,103574058938
4.0, 0.8,103741285629
4.0, 0.8,104430479558
4.0, 0.8,104966127713
4.0, 0.8,105163261512
4.0, 0.8,105599183080
4.0, 0.8,106248633559
4.0, 0.8,106519166619
4.0, 0.8,108830180697
4.0, 0.8,110960183221
4.0, 0.8,112455091372
4.0, 0.8,112691276006
4.0, 0.8,113333767535
4.0, 0.8,114262306567
4.0, 0.8,115171970209
4.0, 0.8,116521333055
4.0, 0.8,116646838806
4.0, 0.8,117246891530
4.0, 0.8,117368601205
4.0, 0.8,117358914968
4.0, 0.8,117814764359
4.0, 0.8,118049877153
4.0, 0.8,117828624986
4.0, 0.8,118182018984
4.0, 0.8,118304933023
4.0, 0.8,118385627743
4.0, 0.8,118543404344
4.0, 0.8,118955169635
4.0, 0.8,118982640207
4.0, 0.8,119271570854
4.0, 0.8,119150561669
4.0, 0.8,120670050307
4.0, 0.8,120854230093
4.0, 0.8,121339518639
4.0, 0.8,121898994057
4.0, 0.8,122071841981
4.0, 0.8,122444563153
4.0, 0.8,123181054327
4.0, 0.8,123664378345
4.0, 0.8,123733865725
4.0, 0.8,123828525337
4.0, 0.8,124742600769
4.0, 0.8,125367492325
4.0, 0.8,125766301356
4.0, 0.8,126826700741
4.0, 0.8,131583927256
4.0, 0.8,133580866913
4.0, 1.8,164164110478
4.0, 1.8,171120950418
4.0, 1.8,168162583134
4.0, 1.8,172111995698
4.0, 1.8,174407676882
4.0, 1.8,172547866127
4.0, 1.8,167903993608
4.0, 1.8,180881283469
4.0, 1.8,183053075177
4.0, 1.8,166783650050
4.0, 1.8,169297275963
4.0, 1.8,174869397048
4.0, 1.8,188284860294
4.0, 1.8,179586617960
4.0, 1.8,172794248767
4.0, 1.8,189394724233
4.0, 1.8,183853470890
4.0, 1.8,178368608173
4.0, 1.8,193597572654
4.0, 1.8,179992837880
4.0, 1.8,194292643017
4.0, 1.8,177741965478
4.0, 1.8,184002855368
4.0, 1.8,184805343253
4.0, 1.8,190576223181
4.0, 1.8,185999116748
4.0, 1.8,180128872448
4.0, 1.8,173133236548
4.0, 1.8,190234219490
4.0, 1.8,189216211557
4.0, 1.8,181200621976
4.0, 1.8,198790889321
4.0, 1.8,191316440714
4.0, 1.8,186521247018
4.0, 1.8,191758193334
4.0, 1.8,192383101145
4.0, 1.8,199759702264
4.0, 1.8,192384181581
4.0, 1.8,192198236510
4.0, 1.8,191999434765
4.0, 1.8,196757314359
4.0, 1.8,182477982245
4.0, 1.8,198591177070
4.0, 1.8,199260648034
4.0, 1.8,200068083635
4.0, 1.8,192881905001
4.0, 1.8,197066006061
4.0, 1.8,200482094890
