lf,beta,T_time_(ns)
1.0, 1.0,18553082569395
1.0, 1.0,20617613864528
1.0, 1.0,19778330287544
1.0, 1.0,19961534810057
1.0, 1.0,18973684407048
1.0, 1.0,19731113173429
1.0, 1.0,19363289199934
1.0, 0.1,4938218746191
1.0, 1.0,19249746897532
1.0, 1.0,19621015672866
1.0, 1.0,21254577622041
1.0, 1.0,18766821025278
1.0, 1.0,20487754939881
1.0, 1.0,17307997399441
1.0, 1.0,18585539017153
1.0, 0.1,4996805433694
1.0, 1.0,17693243225344
1.0, 1.0,19449922283841
1.0, 1.0,20086649112690
1.0, 1.0,21021640630926
1.0, 1.0,19643655023524
1.0, 1.0,17540671732853
1.0, 0.1,5357753637690
1.0, 1.0,19193964837296
1.0, 1.0,20496081898529
1.0, 1.0,18525500073251
1.0, 1.0,19810534726341
1.0, 1.0,21620071153566
1.0, 1.0,22832434608662
1.0, 1.0,20785054092027
1.0, 1.0,17814505962203
1.0, 1.0,19118407126268
1.0, 1.0,20106460152108
1.0, 1.0,22504402124252
1.0, 1.0,25024930012905
1.0, 1.0,23894929892433
1.0, 1.0,24036451702955
1.0, 1.0,24309328441383
1.0, 3.0,36341269399292
1.0, 3.0,40947855269851
1.0, 3.0,41687085402391
1.0, 3.0,38275446031649
1.0, 3.0,39811841708152
3.5, 0.1,2487733650259
3.5, 0.1,2413932726907
3.5, 0.1,2862873764423
3.5, 0.1,2740720560227
3.5, 0.1,2716610563075
1.0, 3.0,40748534807139
1.0, 3.0,39884964824254
1.0, 3.0,41718550344075
1.0, 3.0,41410947846886
1.0, 3.0,39875262204835
3.5, 0.1,3394470481269
1.0, 3.0,44663624346849
1.0, 3.0,46899555734451
3.5, 0.1,3161535039128
1.0, 3.0,41299827747955
3.5, 0.1,2644400613786
3.5, 0.1,2861701657986
1.0, 3.0,41353421778353
3.5, 1.0,11016064471228
1.0, 3.0,41852643958452
1.0, 3.0,44148238992254
3.5, 0.1,3490696328963
1.0, 3.0,41660219723428
1.0, 3.0,41955884363731
1.0, 3.0,43002035305212
1.0, 3.0,41494590920972
1.0, 3.0,41796194454382
3.5, 0.1,3133823796203
3.5, 1.0,10470589848729
1.0, 3.0,43773459747376
1.0, 3.0,43798953500065
3.5, 0.1,3130957896479
3.5, 0.1,2667565356203
1.0, 3.0,43023394744244
1.0, 3.0,42796861419170
1.0, 3.0,42209400143791
1.0, 3.0,44168770891335
3.5, 1.0,12362668642066
1.0, 3.0,42747717650810
3.5, 0.1,3141901434100
3.5, 0.1,3016010368476
3.5, 0.1,2747503479951
3.5, 0.1,3161553765184
3.5, 0.1,2805138496977
1.0, 3.0,45608141989475
3.5, 0.1,2806144456773
1.0, 3.0,41316096867161
3.5, 0.1,3147027814797
3.5, 1.0,12978259282420
3.5, 0.1,3125359423782
3.5, 0.1,3085209550420
3.5, 1.0,13187187939118
1.0, 3.0,44262407572782
1.0, 3.0,44789057352769
3.5, 0.1,3006399851449
1.0, 3.0,46503088377253
3.5, 0.1,3005018094067
1.0, 3.0,48399924281605
1.0, 3.0,48209928408876
3.5, 0.1,2772892034540
3.5, 0.1,3111658920681
3.5, 0.1,3102534599964
1.0, 3.0,47070926776218
3.5, 0.1,3493173155162
3.5, 0.1,2807000687249
3.5, 0.1,3071951375216
1.0, 3.0,45685078036499
1.0, 3.0,42160141978797
1.0, 3.0,44274217177351
3.5, 0.1,2987403957096
1.0, 3.0,44897939706132
3.5, 0.1,3449622217050
3.5, 0.1,3148122903352
1.0, 3.0,45767131584446
1.0, 3.0,45479376341683
3.5, 0.1,3042987763065
3.5, 0.1,3430236180486
3.5, 0.1,2989298109607
1.0, 3.0,48078273402432
3.5, 0.1,3112373379019
3.5, 0.1,3160463125206
3.5, 0.1,3407109535673
3.5, 1.0,12728282057786
1.0, 3.0,49010929366768
1.0, 3.0,43764271774857
3.5, 0.1,3215938021009
3.5, 0.1,3063256790771
1.0, 3.0,43600234824883
3.5, 0.1,2447907611875
3.5, 1.0,13942677645762
3.5, 0.1,3347652842584
3.5, 1.0,13156597885761
3.5, 1.0,13032399746578
3.5, 1.0,10345844453940
3.5, 0.1,3229972831916
3.5, 0.1,3193092607811
3.5, 0.1,3756677807995
3.5, 1.0,13415016035628
3.5, 1.0,14724458705759
3.5, 1.0,11377141063163
3.5, 1.0,13746928364292
3.5, 1.0,13692010770076
3.5, 1.0,12156676151581
3.5, 1.0,12507342663754
3.5, 1.0,13674936588283
3.5, 1.0,13794682008086
3.5, 1.0,13556240821661
3.5, 1.0,13866829565173
3.5, 1.0,13130680720391
3.5, 1.0,12074637654445
3.5, 1.0,12613674772948
3.5, 1.0,12849027567919
3.5, 1.0,14454852817181
3.5, 1.0,12706928182207
3.5, 1.0,13278717693370
3.5, 1.0,13667756018082
3.5, 1.0,14492250427200
3.5, 1.0,12785390734063
3.5, 1.0,11744050738911
3.5, 1.0,11949938700047
3.5, 1.0,13344042129336
3.5, 1.0,14278261989903
3.5, 1.0,12012742581555
3.5, 1.0,14515594898649
3.5, 1.0,13288677897254
3.5, 1.0,13178285098301
3.5, 1.0,13611197307257
3.5, 1.0,14327946870084
3.5, 1.0,13634178341557
3.5, 1.0,11854395682509
3.5, 1.0,13421834650932
3.5, 3.0,25637280189868
3.5, 3.0,27113028240463
3.5, 1.0,13758782729735
3.5, 1.0,13481123352553
1.0, 3.0,47118869934968
6.0, 0.1,2798588852436
6.0, 0.1,2753742231012
3.5, 3.0,26562879851333
3.5, 3.0,28338007789491
6.0, 0.1,2484699924458
3.5, 0.1,3721515208684
3.5, 3.0,29650342444787
6.0, 0.1,2772286588307
1.0, 3.0,54262887609044
1.0, 3.0,51359213701715
6.0, 0.1,2902740962459
1.0, 3.0,53676407950275
3.5, 0.1,4039603599686
6.0, 1.0,10029799235383
3.5, 3.0,29630961867808
3.5, 0.1,4089151159926
3.5, 0.1,3848508128895
3.5, 3.0,28674152503780
6.0, 1.0,12457088603652
6.0, 0.1,2283924390519
6.0, 1.0,9561594889406
3.5, 3.0,28156589354616
6.0, 1.0,9549989279847
3.5, 3.0,29117938550309
3.5, 3.0,30243351962145
6.0, 0.1,2882941651153
3.5, 3.0,31108570625116
3.5, 3.0,32090119873546
6.0, 0.1,2707093667846
6.0, 0.1,2521297093876
3.5, 3.0,31159817439396
6.0, 0.1,3054489961231
3.5, 3.0,29533918642269
3.5, 3.0,32540477357988
6.0, 1.0,10495752296986
6.0, 0.1,2349421985720
3.5, 3.0,32068227687314
6.0, 0.1,2984603986649
3.5, 3.0,31073995606922
3.5, 3.0,31483501762215
3.5, 3.0,30762034237844
3.5, 3.0,31034990319560
3.5, 3.0,29428776462123
3.5, 3.0,32293044567353
3.5, 3.0,31301426382588
3.5, 3.0,29477329317456
6.0, 0.1,2465997969113
6.0, 0.1,2734189694336
3.5, 3.0,29879688296573
3.5, 3.0,32540505677854
3.5, 3.0,29291153867160
6.0, 0.1,3184885524546
3.5, 3.0,28602857671950
3.5, 3.0,29057114759625
6.0, 0.1,2322137907205
3.5, 3.0,31376526690692
6.0, 0.1,2841034129804
6.0, 0.1,2323593536065
3.5, 3.0,30420277485623
6.0, 0.1,2752355300909
6.0, 0.1,2700560049337
3.5, 1.0,17750410058459
6.0, 0.1,3015906708177
6.0, 0.1,3083055166970
3.5, 3.0,28219159859689
6.0, 0.1,3001841515002
6.0, 0.1,3079736170189
3.5, 3.0,33222711994016
3.5, 3.0,30936225542542
