t_1,N_1,t_2,N_2,t_3,N_3,t_4,N_4,t_5,N_5,t_6,N_6,t_7,N_7,t_8,N_8,t_9,N_9,t_10,N_10
0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100,0.0,100.0,0.0,100.0,0.0,100.0
4e-05,99.0,5e-05,99.0,5e-05,99.0,2e-05,99.0,3.0000000000000004e-05,99.0,8e-05,99.0,4e-05,99,5e-05,99.0,7.000000000000001e-05,99.0,3.0000000000000004e-05,99.0
6e-05,98.0,7.000000000000001e-05,98.0,6e-05,98.0,6e-05,98.0,7.000000000000001e-05,98.0,0.00011,98.0,6e-05,98,8e-05,96.0,0.0001,98.0,7.000000000000001e-05,98.0
7.000000000000001e-05,96.0,8e-05,97.0,0.00012,97.0,0.0001,97.0,0.0001,97.0,0.00013000000000000002,97.0,8e-05,97,9e-05,94.0,0.00012,95.0,0.00012,96.0
0.0001,95.0,0.0001,96.0,0.00013000000000000002,95.0,0.00011,96.0,0.00011,95.0,0.00016,96.0,9e-05,96,0.0001,93.0,0.00013000000000000002,93.0,0.00013000000000000002,95.0
0.00014000000000000001,94.0,0.00014000000000000001,95.0,0.00014000000000000001,93.0,0.00012,94.0,0.00012,94.0,0.00017,95.0,0.0001,95,0.00014000000000000001,90.0,0.00022,90.0,0.00014000000000000001,94.0
0.00019,93.0,0.00015000000000000001,94.0,0.00015000000000000001,91.0,0.00013000000000000002,93.0,0.00013000000000000002,93.0,0.00018,93.0,0.00012,94,0.00015000000000000001,89.0,0.00023,87.0,0.00015000000000000001,92.0
0.00021,92.0,0.00016,89.0,0.00016,89.0,0.00017,92.0,0.00014000000000000001,92.0,0.00019,92.0,0.00014000000000000001,93,0.00019,88.0,0.00031000000000000016,85.0,0.00017,91.0
0.00025,91.0,0.00019,88.0,0.00017,88.0,0.00018,90.0,0.00015000000000000001,91.0,0.0002,91.0,0.00019,92,0.0002,87.0,0.00034000000000000024,84.0,0.00018,88.0
0.00026000000000000003,90.0,0.00024,86.0,0.00018,87.0,0.00019,89.0,0.00019,89.0,0.00022,88.0,0.0002,91,0.00022,86.0,0.0004000000000000004,83.0,0.00021,87.0
0.00027000000000000006,89.0,0.00025,85.0,0.00019,86.0,0.00023,87.0,0.0002,88.0,0.00023,87.0,0.00022,90,0.00023,85.0,0.0004100000000000004,82.0,0.00024,84.0
0.0003300000000000002,88.0,0.00026000000000000003,84.0,0.0002,85.0,0.00025,86.0,0.00022,87.0,0.00026000000000000003,86.0,0.00025,88,0.00026000000000000003,81.0,0.00046000000000000056,81.0,0.00025,82.0
0.00034000000000000024,86.0,0.00027000000000000006,83.0,0.00024,84.0,0.00027000000000000006,85.0,0.00023,86.0,0.0002800000000000001,84.0,0.00027000000000000006,87,0.0002800000000000001,80.0,0.0004700000000000006,80.0,0.00026000000000000003,79.0
0.0004300000000000005,83.0,0.0002800000000000001,82.0,0.00025,83.0,0.00031000000000000016,84.0,0.00024,85.0,0.00031000000000000016,83.0,0.0002900000000000001,86,0.0002900000000000001,79.0,0.0004900000000000006,78.0,0.0002800000000000001,76.0
0.00045000000000000053,82.0,0.00042000000000000045,81.0,0.00026000000000000003,81.0,0.0003600000000000003,83.0,0.00027000000000000006,84.0,0.00034000000000000024,82.0,0.00031000000000000016,85,0.00031000000000000016,78.0,0.0005300000000000007,77.0,0.0003200000000000002,75.0
0.0004700000000000006,81.0,0.0004300000000000005,80.0,0.0003200000000000002,80.0,0.0003700000000000003,82.0,0.0003200000000000002,83.0,0.00035000000000000027,81.0,0.0003200000000000002,84,0.0003200000000000002,77.0,0.0005600000000000008,76.0,0.0003700000000000003,74.0
0.0004800000000000006,80.0,0.00046000000000000056,79.0,0.0003300000000000002,77.0,0.00042000000000000045,81.0,0.0003300000000000002,80.0,0.00039000000000000037,79.0,0.00035000000000000027,83,0.00035000000000000027,76.0,0.0006000000000000009,75.0,0.00038000000000000035,73.0
0.0005300000000000007,78.0,0.0004800000000000006,77.0,0.0003600000000000003,76.0,0.00045000000000000053,79.0,0.0003700000000000003,79.0,0.0004000000000000004,78.0,0.0003700000000000003,82,0.0004100000000000004,75.0,0.000620000000000001,74.0,0.0004000000000000004,72.0
0.0005400000000000008,76.0,0.0004900000000000006,76.0,0.00042000000000000045,75.0,0.00046000000000000056,77.0,0.00038000000000000035,78.0,0.00042000000000000045,76.0,0.0004100000000000004,81,0.0004300000000000005,74.0,0.0006900000000000012,73.0,0.0004300000000000005,71.0
0.0005600000000000008,75.0,0.0005200000000000007,75.0,0.00045000000000000053,74.0,0.0005000000000000007,76.0,0.0004700000000000006,77.0,0.0004700000000000006,75.0,0.0005400000000000008,80,0.00046000000000000056,73.0,0.0007200000000000012,72.0,0.00045000000000000053,70.0
0.0005700000000000008,74.0,0.0005500000000000008,74.0,0.0004900000000000006,73.0,0.0005200000000000007,75.0,0.0005000000000000007,76.0,0.0005000000000000007,74.0,0.0005500000000000008,78,0.0004700000000000006,72.0,0.0007500000000000013,71.0,0.0004800000000000006,68.0
0.0006000000000000009,73.0,0.000620000000000001,72.0,0.0005100000000000007,71.0,0.0005300000000000007,73.0,0.0005600000000000008,74.0,0.0005100000000000007,72.0,0.0005600000000000008,77,0.0005100000000000007,71.0,0.0007600000000000013,70.0,0.0005600000000000008,67.0
0.000630000000000001,72.0,0.0007300000000000013,71.0,0.0005600000000000008,70.0,0.0005400000000000008,72.0,0.0005800000000000009,73.0,0.0005500000000000008,70.0,0.0005700000000000008,76,0.0005500000000000008,70.0,0.0007700000000000014,69.0,0.0005900000000000009,66.0
0.000640000000000001,71.0,0.0007600000000000013,70.0,0.000630000000000001,69.0,0.0005500000000000008,71.0,0.000620000000000001,72.0,0.0005800000000000009,69.0,0.000620000000000001,75,0.0007100000000000012,69.0,0.0008000000000000014,67.0,0.0006500000000000011,65.0
0.0006700000000000011,70.0,0.0007800000000000014,69.0,0.000640000000000001,68.0,0.0005700000000000008,70.0,0.000640000000000001,71.0,0.0007300000000000013,68.0,0.000630000000000001,74,0.0007200000000000012,68.0,0.0008400000000000016,66.0,0.0006900000000000012,64.0
0.0006800000000000011,69.0,0.0007900000000000014,67.0,0.0007000000000000012,67.0,0.0006000000000000009,69.0,0.0006900000000000012,70.0,0.0007400000000000013,67.0,0.0006600000000000011,73,0.0007400000000000013,67.0,0.0008800000000000017,64.0,0.0007200000000000012,63.0
0.0007300000000000013,68.0,0.0008000000000000014,66.0,0.0007600000000000013,66.0,0.0006500000000000011,68.0,0.0007600000000000013,69.0,0.0007600000000000013,66.0,0.0007200000000000012,72,0.0008000000000000014,66.0,0.0009700000000000019,62.0,0.0007600000000000013,62.0
0.0007500000000000013,67.0,0.0008200000000000015,65.0,0.0007800000000000014,65.0,0.0006700000000000011,67.0,0.0007900000000000014,68.0,0.0008100000000000015,65.0,0.0007300000000000013,70,0.0008800000000000017,65.0,0.0010600000000000021,61.0,0.0007900000000000014,61.0
0.0007700000000000014,66.0,0.0008500000000000016,64.0,0.0008200000000000015,64.0,0.0007300000000000013,66.0,0.0008000000000000014,66.0,0.0008800000000000017,64.0,0.0008100000000000015,68,0.0009000000000000017,64.0,0.0011900000000000025,60.0,0.0008400000000000016,60.0
0.0008000000000000014,65.0,0.0009200000000000018,63.0,0.0008300000000000015,63.0,0.0007400000000000013,65.0,0.0008200000000000015,65.0,0.0008900000000000017,63.0,0.0008300000000000015,67,0.0009100000000000017,63.0,0.0012300000000000026,59.0,0.0008700000000000016,59.0
0.0008100000000000015,64.0,0.0009300000000000018,62.0,0.0008900000000000017,62.0,0.0007500000000000013,64.0,0.0008300000000000015,64.0,0.0009100000000000017,62.0,0.0008500000000000016,66,0.0009400000000000018,62.0,0.0013100000000000028,58.0,0.0009600000000000019,58.0
0.0008400000000000016,63.0,0.0011400000000000023,61.0,0.0009300000000000018,61.0,0.0007900000000000014,61.0,0.0008800000000000017,63.0,0.0009600000000000019,61.0,0.0009300000000000018,65,0.0011600000000000024,61.0,0.001370000000000003,57.0,0.000990000000000002,57.0
0.0008600000000000016,62.0,0.0011500000000000024,60.0,0.001000000000000002,60.0,0.0008600000000000016,60.0,0.0009400000000000018,61.0,0.0011400000000000023,60.0,0.001000000000000002,64,0.0012000000000000025,60.0,0.001390000000000003,56.0,0.0010600000000000021,56.0
0.0009100000000000017,61.0,0.0013100000000000028,59.0,0.001030000000000002,59.0,0.001030000000000002,59.0,0.000990000000000002,60.0,0.0011600000000000024,58.0,0.001010000000000002,63,0.0012300000000000026,59.0,0.001400000000000003,55.0,0.0011000000000000022,55.0
0.0009400000000000018,60.0,0.0013500000000000029,58.0,0.0012800000000000027,58.0,0.001050000000000002,58.0,0.0010800000000000022,59.0,0.001430000000000003,57.0,0.001020000000000002,62,0.001400000000000003,58.0,0.001410000000000003,54.0,0.0011100000000000023,54.0
0.001040000000000002,59.0,0.0014800000000000032,57.0,0.0013100000000000028,57.0,0.0010600000000000021,57.0,0.0011600000000000024,58.0,0.0015200000000000033,56.0,0.001050000000000002,61,0.001410000000000003,57.0,0.001420000000000003,53.0,0.0011300000000000023,53.0
0.0010700000000000022,58.0,0.0015300000000000034,56.0,0.0015300000000000034,56.0,0.0011300000000000023,56.0,0.0011900000000000025,57.0,0.0016200000000000036,55.0,0.0011500000000000024,60,0.0014800000000000032,56.0,0.0015700000000000035,52.0,0.0016100000000000036,52.0
0.0011000000000000022,57.0,0.0015700000000000035,55.0,0.0015700000000000035,55.0,0.0012300000000000026,55.0,0.0012000000000000025,56.0,0.0018800000000000043,54.0,0.0011600000000000024,59,0.0015200000000000033,55.0,0.0016200000000000036,51.0,0.002700000000000006,51.0
0.0012100000000000025,56.0,0.0019600000000000043,54.0,0.0019500000000000045,54.0,0.0012800000000000027,54.0,0.0012100000000000025,55.0,0.0019100000000000044,52.0,0.0013300000000000028,58,0.0016700000000000037,54.0,0.0024600000000000056,50.0,0.003050000000000007,50.0
0.0012800000000000027,55.0,0.0028200000000000065,53.0,0.0020800000000000046,53.0,0.0013000000000000028,53.0,0.0012500000000000026,54.0,0.0024500000000000056,51.0,0.0015300000000000034,57,0.0020100000000000044,53.0,0.002560000000000006,49.0,0.0032800000000000077,49.0
0.0013100000000000028,54.0,0.0028700000000000067,52.0,0.0024000000000000054,52.0,0.001380000000000003,52.0,0.001400000000000003,53.0,0.0024900000000000057,50.0,0.0015900000000000035,56,0.0021400000000000047,52.0,0.0027400000000000063,48.0,0.0035000000000000083,48.0
0.001430000000000003,53.0,0.0031500000000000074,51.0,0.002690000000000006,51.0,0.0014400000000000031,51.0,0.0015500000000000034,52.0,0.002550000000000006,49.0,0.001750000000000004,55,0.002180000000000005,51.0,0.0031900000000000075,47.0,0.004179999999999998,47.0
0.0015900000000000035,52.0,0.0031600000000000074,50.0,0.002980000000000007,50.0,0.0014800000000000032,50.0,0.0016400000000000037,51.0,0.002610000000000006,48.0,0.0018200000000000041,54,0.002190000000000005,50.0,0.0032700000000000077,46.0,0.0042399999999999955,46.0
0.0016300000000000036,51.0,0.0036000000000000086,49.0,0.0032200000000000076,49.0,0.0015600000000000034,49.0,0.001800000000000004,50.0,0.002680000000000006,47.0,0.0019400000000000044,53,0.002200000000000005,49.0,0.003440000000000008,45.0,0.004759999999999974,45.0
0.001790000000000004,50.0,0.0036100000000000086,48.0,0.003380000000000008,48.0,0.0015800000000000035,48.0,0.0020100000000000044,49.0,0.0028200000000000065,46.0,0.002230000000000005,52,0.002240000000000005,48.0,0.0036100000000000086,44.0,0.0049999999999999645,44.0
0.0021200000000000047,49.0,0.003830000000000009,47.0,0.0038500000000000092,47.0,0.001760000000000004,47.0,0.0024900000000000057,48.0,0.0036000000000000086,45.0,0.002260000000000005,51,0.002550000000000006,47.0,0.005279999999999953,43.0,0.005249999999999954,43.0
0.0031600000000000074,48.0,0.004389999999999989,46.0,0.004100000000000001,46.0,0.0018800000000000043,46.0,0.002690000000000006,47.0,0.003750000000000009,44.0,0.0023800000000000054,50,0.002680000000000006,46.0,0.005399999999999948,42.0,0.00608999999999992,42.0
0.0036100000000000086,47.0,0.004579999999999982,45.0,0.004889999999999969,45.0,0.0023800000000000054,45.0,0.0028300000000000066,46.0,0.004040000000000004,43.0,0.002960000000000007,49,0.0029000000000000067,45.0,0.005709999999999936,41.0,0.006929999999999886,41.0
0.004789999999999973,46.0,0.005189999999999957,44.0,0.005679999999999937,44.0,0.0024800000000000056,44.0,0.0031500000000000074,45.0,0.004809999999999972,42.0,0.004409999999999989,48,0.003910000000000009,44.0,0.006689999999999896,40.0,0.0075299999999998615,40.0
0.004879999999999969,45.0,0.006869999999999888,43.0,0.006159999999999917,43.0,0.0027300000000000063,43.0,0.003460000000000008,44.0,0.0065799999999999,41.0,0.004679999999999978,47,0.004669999999999978,43.0,0.007039999999999881,39.0,0.009119999999999797,39.0
0.00510999999999996,44.0,0.0071599999999998765,42.0,0.007139999999999877,42.0,0.0027400000000000063,42.0,0.003680000000000009,43.0,0.006739999999999894,40.0,0.004979999999999965,46,0.004959999999999966,42.0,0.007419999999999866,38.0,0.011869999999999685,38.0
0.005499999999999944,43.0,0.007399999999999867,41.0,0.0074799999999998635,41.0,0.002950000000000007,41.0,0.0055899999999999405,42.0,0.006929999999999886,39.0,0.005019999999999964,45,0.005159999999999958,41.0,0.01248999999999966,37.0,0.012569999999999656,37.0
0.005699999999999936,42.0,0.0076999999999998545,40.0,0.008989999999999802,40.0,0.003680000000000009,40.0,0.007589999999999859,41.0,0.007979999999999843,38.0,0.005069999999999962,44,0.0058599999999999295,40.0,0.01466999999999957,36.0,0.018769999999999405,36.0
0.00584999999999993,41.0,0.009689999999999773,39.0,0.015219999999999548,39.0,0.004599999999999981,39.0,0.00806999999999984,40.0,0.014709999999999569,37.0,0.0059099999999999275,43,0.005999999999999924,39.0,0.015369999999999542,35.0,0.02085999999999932,35.0
0.005919999999999927,40.0,0.00978999999999977,38.0,0.017229999999999468,38.0,0.011299999999999708,38.0,0.009829999999999768,39.0,0.01789999999999944,36.0,0.005949999999999926,42,0.0061299999999999185,38.0,0.016349999999999504,34.0,0.022769999999999242,34.0
0.006119999999999919,39.0,0.0114899999999997,37.0,0.02332999999999922,37.0,0.011519999999999699,37.0,0.011299999999999708,38.0,0.018469999999999417,35.0,0.00681999999999989,41,0.009429999999999784,37.0,0.017029999999999476,33.0,0.07991000000000172,33.0
0.008939999999999804,38.0,0.013809999999999606,36.0,0.02650999999999909,36.0,0.01596999999999952,36.0,0.011579999999999696,37.0,0.021289999999999303,34.0,0.008099999999999838,40,0.011429999999999703,36.0,0.018569999999999413,32.0,0.13544999999999469,32.0
0.012609999999999654,37.0,0.013969999999999599,35.0,0.05422000000000593,35.0,0.01741999999999946,35.0,0.012339999999999665,36.0,0.024339999999999178,33.0,0.008189999999999835,39,0.013659999999999612,35.0,0.02303999999999923,31.0,0.20053000000005977,31.0
0.018579999999999413,36.0,0.015269999999999546,34.0,0.0551000000000062,34.0,0.021289999999999303,34.0,0.0139399999999996,35.0,0.05488000000000613,32.0,0.009389999999999786,38,0.02236999999999926,34.0,0.02575999999999912,30.0,0.23021000000008945,30.0
0.02454999999999917,35.0,0.016389999999999502,33.0,0.07951000000000187,33.0,0.05037000000000475,33.0,0.016019999999999517,34.0,0.17073000000002997,31.0,0.011319999999999707,37,0.04818000000000408,33.0,0.031079999999998904,29.0,0.2935700000001528,29.0
0.037450000000000795,34.0,0.1003299999999938,32.0,0.08365000000000027,32.0,0.1196599999999863,32.0,0.0238099999999992,33.0,0.5084900000003206,30.0,0.016389999999999502,36,0.09191999999999706,32.0,0.09433999999999612,28.0,0.44490000000030416,28.0
0.07139000000000502,33.0,0.13078999999999003,31.0,0.08766999999999871,31.0,0.1410700000000003,31.0,0.033729999999999656,32.0,0.5382700000001851,29.0,0.020039999999999353,35,0.15858000000001782,31.0,0.16491000000002415,27.0,0.4770300000003363,27.0
0.07293000000000442,32.0,0.1913600000000506,30.0,0.1398599999999991,30.0,0.16053000000001977,30.0,0.06120000000000807,31.0,0.8519099999987577,28.0,0.025649999999999125,34,0.21044000000006968,30.0,0.18440000000004364,26.0,0.6862499999995116,26.0
0.13253999999999178,31.0,0.3299200000001892,29.0,0.9154599999984685,29.0,0.18372000000004296,29.0,0.08014000000000163,30.0,0.9588299999982711,27.0,0.028059999999999027,33,0.8244199999988828,29.0,1.8252900000034904,25.0,0.8217299999988951,25.0
0.2636700000001229,30.0,0.3673500000002266,28.0,1.1555399999991027,28.0,0.2638300000001231,28.0,0.14428000000000352,29.0,1.144599999999031,26.0,0.047310000000003814,32,0.8368399999988263,28.0,2.702630000009238,24.0,1.2806199999999222,24.0
0.4795200000003388,29.0,0.5063300000003305,27.0,1.3532200000003978,27.0,0.2803500000001396,27.0,0.19854000000005778,28.0,5.302279999968436,25.0,0.19992000000005916,31,1.1740899999992243,27.0,2.761680000009625,23.0,1.5304200000015586,23.0
0.5984099999999114,28.0,0.5794199999999978,26.0,1.4234000000008575,26.0,0.3223700000001816,26.0,0.4663100000003256,27.0,17.42867999950936,24.0,0.29668000000015593,30,1.2429899999996756,26.0,,,,
0.9687299999982261,27.0,1.7926200000032764,25.0,2.4107000000073255,25.0,0.46989000000032916,25.0,0.556300000000103,26.0,76.6911300131433,23.0,0.4469200000003062,29,2.8892700000104607,25.0,,,,
