t_1,N_1,t_2,N_2,t_3,N_3,t_4,N_4,t_5,N_5,t_6,N_6,t_7,N_7,t_8,N_8,t_9,N_9,t_10,N_10
0.0,100,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0
4e-05,99,5e-05,98.0,3.0000000000000004e-05,99.0,8e-05,99.0,5e-05,99.0,7.000000000000001e-05,99.0,5e-05,99.0,4e-05,99.0,5e-05,99.0,7.000000000000001e-05,99.0
5e-05,98,6e-05,96.0,5e-05,98.0,9e-05,98.0,0.0001,97.0,8e-05,98.0,7.000000000000001e-05,97.0,8e-05,98.0,7.000000000000001e-05,97.0,9e-05,98.0
6e-05,96,0.0001,95.0,6e-05,97.0,0.0001,97.0,0.00012,96.0,0.00011,96.0,0.0001,96.0,0.0001,96.0,8e-05,96.0,0.0001,95.0
9e-05,95,0.00011,94.0,8e-05,96.0,0.00012,96.0,0.00013000000000000002,95.0,0.00014000000000000001,94.0,0.00011,94.0,0.00011,94.0,9e-05,95.0,0.00011,94.0
0.0001,94,0.00012,93.0,9e-05,95.0,0.00018,95.0,0.00017,94.0,0.00016,93.0,0.00012,92.0,0.00015000000000000001,91.0,0.00013000000000000002,93.0,0.00014000000000000001,91.0
0.00011,93,0.00015000000000000001,91.0,0.0001,94.0,0.00025,92.0,0.00018,92.0,0.00017,91.0,0.00013000000000000002,91.0,0.00016,89.0,0.00014000000000000001,91.0,0.00016,90.0
0.00012,92,0.00017,89.0,0.00011,92.0,0.0002800000000000001,90.0,0.0002,89.0,0.0002,90.0,0.00016,90.0,0.00017,88.0,0.00019,89.0,0.00017,89.0
0.00013000000000000002,91,0.0002,88.0,0.00012,91.0,0.0003200000000000002,89.0,0.00022,87.0,0.00021,89.0,0.00018,89.0,0.00018,86.0,0.0002,86.0,0.00018,88.0
0.00017,89,0.00021,87.0,0.00013000000000000002,90.0,0.00035000000000000027,87.0,0.00024,86.0,0.00027000000000000006,88.0,0.00019,88.0,0.00019,85.0,0.00021,85.0,0.00019,87.0
0.00018,88,0.00023,84.0,0.00014000000000000001,89.0,0.0003700000000000003,85.0,0.00025,84.0,0.0002900000000000001,87.0,0.00021,87.0,0.00021,84.0,0.00024,84.0,0.00021,86.0
0.00019,87,0.00025,83.0,0.00015000000000000001,87.0,0.00038000000000000035,84.0,0.00026000000000000003,83.0,0.0003200000000000002,83.0,0.00025,86.0,0.00027000000000000006,83.0,0.00025,83.0,0.00024,85.0
0.00021,85,0.00026000000000000003,81.0,0.00017,86.0,0.00039000000000000037,81.0,0.0002900000000000001,82.0,0.0003300000000000002,80.0,0.0003300000000000002,85.0,0.00031000000000000016,82.0,0.00027000000000000006,82.0,0.00027000000000000006,84.0
0.00023,84,0.0002800000000000001,80.0,0.00018,83.0,0.0004100000000000004,80.0,0.0003300000000000002,81.0,0.00038000000000000035,79.0,0.00035000000000000027,84.0,0.0003200000000000002,81.0,0.0002900000000000001,81.0,0.0002800000000000001,83.0
0.00024,83,0.00031000000000000016,79.0,0.00024,81.0,0.00042000000000000045,79.0,0.00035000000000000027,80.0,0.0004000000000000004,78.0,0.0003600000000000003,83.0,0.00034000000000000024,80.0,0.0003300000000000002,80.0,0.0002900000000000001,82.0
0.00025,82,0.0003300000000000002,78.0,0.00025,79.0,0.0004300000000000005,78.0,0.0004000000000000004,77.0,0.0004100000000000004,76.0,0.0003700000000000003,82.0,0.00035000000000000027,79.0,0.00035000000000000027,79.0,0.00031000000000000016,80.0
0.0002800000000000001,81,0.00034000000000000024,77.0,0.00027000000000000006,78.0,0.0004900000000000006,77.0,0.00042000000000000045,76.0,0.0004300000000000005,75.0,0.0004000000000000004,80.0,0.0003700000000000003,78.0,0.0003700000000000003,78.0,0.00035000000000000027,79.0
0.00031000000000000016,80,0.0003700000000000003,76.0,0.0003300000000000002,77.0,0.0005000000000000007,76.0,0.0004300000000000005,75.0,0.00045000000000000053,74.0,0.00045000000000000053,79.0,0.00039000000000000037,77.0,0.00038000000000000035,77.0,0.0003600000000000003,78.0
0.0003300000000000002,79,0.0004000000000000004,75.0,0.00034000000000000024,76.0,0.0005700000000000008,75.0,0.0004400000000000005,74.0,0.00046000000000000056,73.0,0.0004800000000000006,78.0,0.0004000000000000004,76.0,0.0004000000000000004,75.0,0.0003700000000000003,76.0
0.00034000000000000024,78,0.0004100000000000004,74.0,0.00039000000000000037,75.0,0.0005800000000000009,73.0,0.0005500000000000008,73.0,0.0005100000000000007,72.0,0.0005100000000000007,77.0,0.00045000000000000053,75.0,0.0004300000000000005,74.0,0.00039000000000000037,75.0
0.0003600000000000003,77,0.00045000000000000053,73.0,0.0004700000000000006,74.0,0.0005900000000000009,72.0,0.0005700000000000008,72.0,0.0005300000000000007,71.0,0.0005300000000000007,76.0,0.0004900000000000006,74.0,0.00045000000000000053,72.0,0.0004000000000000004,74.0
0.0003700000000000003,76,0.0004700000000000006,72.0,0.0004800000000000006,73.0,0.000620000000000001,71.0,0.000630000000000001,71.0,0.0005500000000000008,70.0,0.0005400000000000008,75.0,0.0005000000000000007,73.0,0.0004800000000000006,71.0,0.0004400000000000005,72.0
0.00038000000000000035,75,0.0004800000000000006,69.0,0.0005100000000000007,72.0,0.0006700000000000011,70.0,0.000640000000000001,70.0,0.0005700000000000008,69.0,0.0005500000000000008,73.0,0.0005300000000000007,72.0,0.0005000000000000007,70.0,0.00045000000000000053,71.0
0.0004400000000000005,74,0.0005000000000000007,68.0,0.0005200000000000007,71.0,0.0006900000000000012,68.0,0.0007600000000000013,69.0,0.0006500000000000011,68.0,0.0006000000000000009,72.0,0.0005400000000000008,71.0,0.0005600000000000008,69.0,0.0004700000000000006,70.0
0.0004700000000000006,73,0.0005100000000000007,67.0,0.0006000000000000009,70.0,0.0007400000000000013,67.0,0.0008100000000000015,68.0,0.0007100000000000012,67.0,0.000610000000000001,71.0,0.0005600000000000008,70.0,0.0006500000000000011,68.0,0.0005500000000000008,68.0
0.0005000000000000007,72,0.0005300000000000007,66.0,0.0006600000000000011,69.0,0.0008300000000000015,65.0,0.0009700000000000019,67.0,0.0007200000000000012,66.0,0.0006800000000000011,70.0,0.0006000000000000009,69.0,0.0006800000000000011,67.0,0.000640000000000001,67.0
0.0006000000000000009,71,0.0005900000000000009,65.0,0.0007500000000000013,68.0,0.0008800000000000017,64.0,0.001020000000000002,66.0,0.0007800000000000014,65.0,0.0007100000000000012,69.0,0.000630000000000001,68.0,0.0007000000000000012,66.0,0.0007500000000000013,66.0
0.000630000000000001,70,0.0007200000000000012,64.0,0.0007800000000000014,67.0,0.0009200000000000018,63.0,0.001040000000000002,65.0,0.0009200000000000018,64.0,0.0008600000000000016,68.0,0.000640000000000001,67.0,0.0007200000000000012,65.0,0.0008000000000000014,65.0
0.0006600000000000011,69,0.0007400000000000013,63.0,0.0008200000000000015,66.0,0.0009700000000000019,62.0,0.001050000000000002,64.0,0.0010600000000000021,63.0,0.0009300000000000018,66.0,0.0007000000000000012,66.0,0.0007600000000000013,64.0,0.0008100000000000015,64.0
0.0007200000000000012,67,0.000990000000000002,62.0,0.0008600000000000016,65.0,0.000980000000000002,61.0,0.0012100000000000025,62.0,0.0012400000000000026,62.0,0.0009500000000000018,65.0,0.0007200000000000012,65.0,0.0009000000000000017,63.0,0.0009300000000000018,63.0
0.0007500000000000013,66,0.001020000000000002,61.0,0.0008900000000000017,64.0,0.001000000000000002,60.0,0.0013100000000000028,61.0,0.0012500000000000026,61.0,0.000980000000000002,64.0,0.0007300000000000013,64.0,0.000980000000000002,62.0,0.0009500000000000018,62.0
0.0007800000000000014,65,0.001030000000000002,60.0,0.0009100000000000017,63.0,0.0012100000000000025,59.0,0.0013300000000000028,60.0,0.0013000000000000028,59.0,0.001050000000000002,63.0,0.0009700000000000019,63.0,0.0011300000000000023,61.0,0.0012500000000000026,61.0
0.0007900000000000014,64,0.0010800000000000022,58.0,0.0009400000000000018,62.0,0.0012900000000000027,58.0,0.001370000000000003,59.0,0.0013400000000000029,58.0,0.0011500000000000024,62.0,0.0011100000000000023,62.0,0.0012600000000000027,60.0,0.0013200000000000028,60.0
0.0008000000000000014,63,0.001360000000000003,57.0,0.0009700000000000019,61.0,0.0013400000000000029,57.0,0.001380000000000003,58.0,0.001410000000000003,57.0,0.0011700000000000024,60.0,0.0012900000000000027,61.0,0.0014600000000000032,59.0,0.0015200000000000033,59.0
0.0008100000000000015,62,0.0015900000000000035,56.0,0.000980000000000002,60.0,0.001390000000000003,56.0,0.001400000000000003,57.0,0.0015800000000000035,56.0,0.0011800000000000024,58.0,0.0013200000000000028,59.0,0.0014700000000000032,58.0,0.0016100000000000036,58.0
0.0008700000000000016,61,0.0017000000000000038,55.0,0.0011000000000000022,59.0,0.0015400000000000034,55.0,0.0015200000000000033,56.0,0.0019000000000000043,55.0,0.0013400000000000029,57.0,0.0013500000000000029,57.0,0.0014800000000000032,57.0,0.0017300000000000039,57.0
0.0009200000000000018,59,0.001770000000000004,54.0,0.0011300000000000023,58.0,0.0016100000000000036,54.0,0.0016000000000000035,55.0,0.0019300000000000044,54.0,0.001410000000000003,56.0,0.001400000000000003,56.0,0.0016700000000000037,56.0,0.0018300000000000041,56.0
0.0011600000000000024,58,0.0018700000000000043,53.0,0.0012900000000000027,57.0,0.0020900000000000046,53.0,0.0016900000000000038,54.0,0.0020200000000000044,53.0,0.0014700000000000032,55.0,0.0016000000000000035,55.0,0.0017000000000000038,55.0,0.002170000000000005,55.0
0.0012000000000000025,57,0.0018800000000000043,52.0,0.0014400000000000031,56.0,0.002290000000000005,52.0,0.0018700000000000043,53.0,0.002250000000000005,52.0,0.0016600000000000037,54.0,0.0018600000000000042,54.0,0.001770000000000004,54.0,0.002290000000000005,54.0
0.0012800000000000027,56,0.0020500000000000045,51.0,0.0016100000000000036,55.0,0.0023200000000000052,51.0,0.0021400000000000047,52.0,0.002280000000000005,51.0,0.0017100000000000038,53.0,0.0019200000000000044,53.0,0.0018300000000000041,53.0,0.0024800000000000056,53.0
0.0015300000000000034,55,0.0020800000000000046,50.0,0.0017300000000000039,54.0,0.0025200000000000057,50.0,0.0024400000000000055,51.0,0.002570000000000006,50.0,0.001780000000000004,52.0,0.0021100000000000047,52.0,0.0019300000000000044,52.0,0.0025100000000000057,52.0
0.0015400000000000034,54,0.002560000000000006,49.0,0.001740000000000004,53.0,0.002590000000000006,49.0,0.002610000000000006,50.0,0.002940000000000007,49.0,0.0018500000000000042,51.0,0.0023700000000000053,51.0,0.002210000000000005,51.0,0.002540000000000006,51.0
0.0015900000000000035,53,0.002610000000000006,48.0,0.001760000000000004,52.0,0.0027100000000000062,48.0,0.0035000000000000083,49.0,0.0031700000000000074,48.0,0.0018800000000000043,50.0,0.0024800000000000056,50.0,0.002270000000000005,49.0,0.002590000000000006,50.0
0.0017300000000000039,52,0.0027400000000000063,47.0,0.0019800000000000043,51.0,0.0028300000000000066,47.0,0.003750000000000009,48.0,0.0032000000000000075,47.0,0.0020000000000000044,49.0,0.002600000000000006,49.0,0.002630000000000006,48.0,0.0027100000000000062,49.0
0.0018300000000000041,51,0.002980000000000007,46.0,0.0021300000000000047,50.0,0.002960000000000007,46.0,0.0039200000000000085,47.0,0.003960000000000007,46.0,0.0020300000000000045,48.0,0.0028600000000000066,48.0,0.002920000000000007,47.0,0.0028200000000000065,48.0
0.0020600000000000045,50,0.003060000000000007,45.0,0.002280000000000005,49.0,0.004060000000000003,45.0,0.004050000000000003,46.0,0.0055899999999999405,45.0,0.0024500000000000056,47.0,0.002970000000000007,47.0,0.0034700000000000082,46.0,0.0028900000000000067,47.0
0.0023400000000000053,49,0.003380000000000008,44.0,0.002540000000000006,48.0,0.004090000000000002,44.0,0.004529999999999984,45.0,0.008229999999999833,44.0,0.002580000000000006,46.0,0.0031300000000000073,46.0,0.003760000000000009,45.0,0.003010000000000007,45.0
0.0024700000000000056,48,0.003450000000000008,43.0,0.002950000000000007,47.0,0.004179999999999998,43.0,0.005309999999999952,44.0,0.008569999999999819,43.0,0.0032800000000000077,45.0,0.0031500000000000074,45.0,0.003810000000000009,44.0,0.0031900000000000075,44.0
0.0024800000000000056,47,0.003810000000000009,42.0,0.0036200000000000086,46.0,0.004929999999999967,42.0,0.008019999999999841,43.0,0.009689999999999773,42.0,0.0034700000000000082,44.0,0.004229999999999996,44.0,0.004739999999999975,43.0,0.0032800000000000077,43.0
0.0025000000000000057,46,0.0039700000000000065,41.0,0.00412,45.0,0.005759999999999934,41.0,0.008439999999999824,42.0,0.01052999999999974,41.0,0.0035600000000000085,43.0,0.004499999999999985,43.0,0.0048299999999999715,42.0,0.003430000000000008,42.0
0.0032400000000000076,45,0.004969999999999966,40.0,0.004659999999999978,44.0,0.006509999999999903,40.0,0.00927999999999979,41.0,0.01124999999999971,40.0,0.0038900000000000093,42.0,0.0045099999999999845,42.0,0.004939999999999967,41.0,0.00436999999999999,41.0
0.0036500000000000087,44,0.0056399999999999385,39.0,0.004679999999999978,43.0,0.006659999999999897,39.0,0.010389999999999745,40.0,0.012309999999999667,39.0,0.004110000000000001,41.0,0.006039999999999922,41.0,0.005459999999999946,40.0,0.004949999999999967,40.0
0.003740000000000009,43,0.006609999999999899,38.0,0.0069399999999998855,42.0,0.00880999999999981,38.0,0.01221999999999967,39.0,0.01744999999999946,38.0,0.004499999999999985,40.0,0.006599999999999899,40.0,0.005769999999999933,39.0,0.008209999999999834,39.0
0.003840000000000009,42,0.008519999999999821,37.0,0.009129999999999796,41.0,0.009989999999999761,37.0,0.013819999999999605,38.0,0.017869999999999442,37.0,0.005279999999999953,39.0,0.00852999999999982,39.0,0.006779999999999892,38.0,0.0090299999999998,38.0
0.00510999999999996,41,0.011439999999999702,36.0,0.009499999999999781,40.0,0.010859999999999726,36.0,0.015499999999999537,37.0,0.02307999999999923,36.0,0.005779999999999933,38.0,0.00879999999999981,38.0,0.008279999999999831,37.0,0.009359999999999787,37.0
0.005499999999999944,40,0.012759999999999648,35.0,0.012399999999999663,39.0,0.01368999999999961,35.0,0.025459999999999133,36.0,0.0420400000000022,35.0,0.01098999999999972,37.0,0.013649999999999612,37.0,0.011589999999999696,36.0,0.009639999999999775,36.0
0.006209999999999915,39,0.015019999999999556,34.0,0.015659999999999532,38.0,0.013879999999999603,34.0,0.025709999999999122,35.0,0.04720000000000378,34.0,0.012419999999999662,36.0,0.01568999999999953,36.0,0.012049999999999677,35.0,0.016259999999999507,35.0
0.008459999999999824,38,0.03777000000000089,33.0,0.025709999999999122,37.0,0.020439999999999337,33.0,0.030049999999998946,34.0,0.0551000000000062,33.0,0.02428999999999918,35.0,0.02059999999999933,35.0,0.01273999999999965,34.0,0.035130000000000085,34.0
0.00878999999999981,37,0.04884000000000428,32.0,0.02672999999999908,36.0,0.03753000000000082,32.0,0.03246999999999927,33.0,0.09831999999999458,32.0,0.04964000000000453,34.0,0.025419999999999134,34.0,0.01320999999999963,33.0,0.03858000000000114,33.0
0.014279999999999586,36,0.058220000000007155,31.0,0.034119999999999776,35.0,0.10756999999999099,31.0,0.03662000000000054,32.0,0.10391999999999241,31.0,0.10885999999999049,33.0,0.03485,33.0,0.017579999999999454,32.0,0.09830999999999458,32.0
0.027689999999999042,35,0.07392000000000404,30.0,0.04773000000000394,34.0,0.16124000000002048,30.0,0.04370000000000271,31.0,0.19641000000005565,30.0,0.11325999999998879,32.0,0.05029000000000473,32.0,0.030019999999998947,31.0,0.12041999999998601,31.0
0.0311399999999989,34,0.09999999999999393,29.0,0.05359000000000574,33.0,0.4339400000002932,29.0,0.06138000000000812,30.0,1.4717700000011744,29.0,0.30868000000016793,31.0,0.06466000000000763,31.0,0.08274000000000062,30.0,0.18921000000004845,30.0
0.04714000000000376,33,0.22741000000008665,28.0,0.07347000000000421,32.0,0.6678099999995956,28.0,0.16030000000001954,29.0,1.8702400000037849,28.0,0.312750000000172,30.0,0.08468999999999986,30.0,0.17674000000003598,29.0,0.22601000000008525,29.0
0.25129000000011054,32,0.2532600000001125,27.0,0.22411000000008335,31.0,0.9154599999984685,27.0,0.2006700000000599,28.0,8.214699999858178,27.0,0.3432700000002025,29.0,0.15952000000001876,29.0,0.3561400000002154,28.0,0.27288000000013213,28.0
0.36921000000022847,31,0.43019000000028945,26.0,0.2343600000000936,30.0,1.0971399999987201,26.0,0.4944500000003537,27.0,12.64889999969031,26.0,0.37569000000023495,28.0,0.3738600000002331,28.0,0.46119000000032045,27.0,0.27522000000013447,27.0
0.6238599999997956,30,1.542990000001641,25.0,0.308770000000168,29.0,4.224040000009255,25.0,0.750989999999217,26.0,18.39678999947271,25.0,1.0846599999986384,27.0,0.4254600000002847,27.0,0.5021800000003493,26.0,0.48158000000034085,26.0
0.7023399999994384,29,2.5654500000083393,24.0,0.34368000000020293,28.0,9.451999999811337,24.0,2.138020000005539,25.0,,,1.4953100000013286,26.0,0.4351100000002944,26.0,0.598069999999913,25.0,0.6292399999997711,25.0
0.9793499999981777,28,57.10522000692646,23.0,0.6112299999998531,27.0,18.89709999945377,23.0,9.691569999802267,24.0,,,2.247410000006256,25.0,6.130739999937072,25.0,2.687030000009136,24.0,2.9400900000107937,24.0
1.082159999998622,27,,,1.6680300000024602,26.0,21.771419999344953,22.0,70.23831001109508,23.0,,,6.935719999906597,24.0,6.527509999922051,24.0,6.038499999940564,23.0,17.087039999522293,23.0
2.878310000010389,26,,,7.240659999895053,25.0,24.007179999260313,21.0,,,,,14.276689999628685,23.0,17.23398999951673,23.0,28.597689999086526,22.0,,
3.3972000000137883,25,,,7.395649999889185,24.0,,,,,,,72.97460001196362,22.0,52.350690005417306,22.0,,,,
6.40656999992663,24,,,9.519729999808773,23.0,,,,,,,,,,,,,,
6.431199999925697,23,,,,,,,,,,,,,,,,,,
8.899699999832245,22,,,,,,,,,,,,,,,,,,
18.07081999948505,21,,,,,,,,,,,,,,,,,,
20.83062999938057,20,,,,,,,,,,,,,,,,,,
