,t,N_avg,std_N,log_t,log_N
0,0.0,100.0,0.0,0.0,4.605170185988092
1,1.2800000000000001e-05,97.65,1.326370709590369,-11.266065387038703,4.581389657322688
2,0.00011720000000000003,94.581,1.9812532307517796,-9.051628680821361,4.5494566102196785
3,0.00022150000000000002,91.503,2.4297931794485916,-8.415087968479083,4.516371758629243
4,0.0003277,88.765,2.6481668731006716,-8.023412002259505,4.485992428158761
5,0.0004364000000000001,86.103,2.830972519365987,-7.736951304005358,4.455544254032249
6,0.0005493000000000001,83.667,2.9547997972522335,-7.506865817615699,4.426844634519483
7,0.0006665999999999998,81.472,2.9829706860970178,-7.313320392090635,4.4002594029349416
8,0.0007890999999999999,79.418,3.068663013869834,-7.144617502437285,4.3747250428123605
9,0.0009181,77.49,3.1008894716702686,-6.993204240814619,4.350148895775859
10,0.001054,75.722,3.140792985948068,-6.855162828862967,4.3270687390932006
11,0.0012001,73.973,3.114799026096704,-6.725350392326878,4.303700161759925
12,0.0013569999999999997,72.382,3.1619731298785694,-6.602478898129405,4.281957649696367
13,0.0015156999999999994,70.847,3.181778545831673,-6.491877900526664,4.260522622262077
14,0.0016831999999999984,69.365,3.1317060179050307,-6.387058535420884,4.239382417532688
15,0.0018697999999999948,67.961,3.1137074644504055,-6.281923805707062,4.218934011233437
16,0.0020704999999999873,66.566,3.127847091439642,-6.1799651549786585,4.198193936680975
17,0.0022901999999999697,65.252,3.132460424060982,-6.079116128985048,4.1782566970740564
18,0.002522799999999951,63.954,3.1185909654216615,-5.982385883174797,4.158164074935055
19,0.0028091999999999315,62.701,3.130079295544507,-5.874855533679433,4.1383773964750095
20,0.0031069999999999176,61.468,3.141471764132991,-5.774097648571253,4.118516714193086
21,0.0034248999999999113,60.256,3.1544277475343154,-5.676683004774509,4.098602152474742
22,0.003765299999999913,59.066,3.1514402382998754,-5.581927739629787,4.07865546275746
23,0.0041605999999999215,57.902,3.1560032250231234,-5.4820959843400106,4.058751926296712
24,0.004599899999999936,56.768,3.143574089799389,-5.381720714853834,4.038972786687114
25,0.0050952999999999485,55.634,3.1253498703044134,-5.279436732784759,4.018794525151368
26,0.005667999999999961,54.54,3.1054861204075674,-5.17291895715371,3.9989343774174424
27,0.006278499999999971,53.445,3.111375203291248,-5.07062418053526,3.978653087725909
28,0.006979599999999973,52.363,3.0981978358119466,-4.964763670440203,3.958200235045897
29,0.007784999999999973,51.294,3.106640503053936,-4.855556473696179,3.9375737862721514
30,0.00873599999999997,50.236,3.1122323161984533,-4.740302859979591,3.91673190115588
31,0.009876199999999955,49.186,3.106936925181626,-4.617627456590449,3.8956090301598914
32,0.011243699999999945,48.139,3.107625514172571,-4.487947307190276,3.8740926593930123
33,0.012859899999999936,47.098,3.0932125636567496,-4.353641336252669,3.8522305372757892
34,0.01497009999999993,46.07,3.082953876496469,-4.201700400546196,3.830161978947826
35,0.017644499999999938,45.039,3.077816101061262,-4.037331158895672,3.8075287810982776
36,0.020868599999999952,44.021,3.070176702566968,-3.8695096420789166,3.784666792787132
37,0.02524589999999999,43.006,3.0635517539857795,-3.6790915126828407,3.761339640843197
38,0.03142900000000001,41.989,3.052900129254018,-3.4600242454144263,3.7374076792184217
39,0.03923559999999995,40.973,3.046892606337571,-3.238170781051171,3.7129133131884817
40,0.04896169999999985,39.963,3.0411971129605986,-3.01671691915865,3.6879540260374353
41,0.0645750999999993,38.959,3.0411457655902603,-2.7399263914145284,3.662509811093793
42,0.08272019999999844,37.952,3.0385735023081026,-2.4922914504299887,3.63632220337526
43,0.10893019999999701,36.95,3.038211765287392,-2.2170479688480014,3.609565647394211
44,0.14558849999999438,35.943,3.0352864714823813,-1.9269711298554357,3.581934350325872
45,0.20732769999999096,34.94,3.037041919964824,-1.57345464569824,3.5536323047059106
46,0.29135779999999806,33.938,3.036012742623682,-1.233203213827619,3.5245353305506346
47,0.4351093999999857,32.935,3.0361147858723974,-0.8321577852599905,3.4945359220926564
48,0.6274175999999672,31.934,3.0352688277740505,-0.46614293133982176,3.4636712729175096
49,0.9983488999997142,30.934,3.0352688277740505,-0.0016524645681234129,3.4318559026159483
50,1.8352530530587168,29.93893893893894,3.0297911717417096,0.6071823755729424,3.399159938782288
51,2.762957286439571,28.96683417085427,3.000990032420353,1.0163015866974903,3.366151526239714
52,4.006423606900931,28.023302938196554,2.9461812241783933,1.3878989747637849,3.333036411841772
53,6.307391012420285,27.141528925619834,2.8440344752429256,1.8417221223382558,3.301064987588581
54,8.631882352987608,26.324064171122995,2.7102803248248097,2.155462598690992,3.2704835083329997
55,10.6496337104666,25.581447963800905,2.5489845971166374,2.3655254981805505,3.241867399857547
56,14.95079202910847,24.835748792270532,2.4090874497800567,2.704764276969066,3.2122840987901355
57,18.00849906556126,24.180240320427238,2.252944465737736,2.8908438167678003,3.1855357839473166
58,22.265983022000245,23.61993769470405,2.096451499192788,3.1030600887983764,3.162091172946264
59,27.43014219357119,23.087360594795538,1.9138299234452645,3.3116424888066986,3.1392853073824094
60,30.966651325604236,22.631325301204818,1.7656086325114302,3.4329108617458846,3.119335021837179
61,35.548131104053745,22.150501672240804,1.700994009384994,3.5708875839546574,3.097860145094293
62,40.86772578997438,21.826315789473686,1.6187859142756678,3.710340651055458,3.0831163880858954
63,43.63983893860639,21.56637168141593,1.5576774503057098,3.7759704702753463,3.0711352349128656
64,50.784745946677305,21.10810810810811,1.4577855937920379,3.9275960328521684,3.0496572371954613
65,49.01949394005532,21.0,1.4361406616345072,3.892218054506395,3.044522437723423
