,t,N_avg,std_N,log_t,log_N
0,0.0,100.0,0.0,0.0,4.605170185988092
1,4.794000000000001e-05,98.793,0.4861968607337848,-9.945560328958036,4.593026752041399
2,7.465000000000001e-05,97.508,0.7658475843942597,-9.502700033979075,4.579934425919831
3,9.655e-05,96.135,0.9888138109637995,-9.24544954908975,4.5657534536243
4,0.00011749000000000002,94.792,1.17137018406143,-9.049157334384793,4.551685017514439
5,0.00013724,93.423,1.3250761588779818,-8.893779339974024,4.537137567596242
6,0.00015725,92.036,1.4638465926615558,-8.757673662383723,4.522179804857286
7,0.00017754000000000004,90.676,1.5689121981441425,-8.6363146223241,4.507292713506279
8,0.00019744,89.336,1.6327185212919495,-8.530075817247251,4.492404542143491
9,0.00021924000000000002,87.978,1.693039391857845,-8.425343537786357,4.4770867832229975
10,0.00024073,86.631,1.736045175925112,-8.331834584464787,4.461657719180686
11,0.00026305,85.332,1.790246067159758,-8.243166429787458,4.446549530689381
12,0.00028572000000000005,84.033,1.8738789775282774,-8.160498247677502,4.431209578838009
13,0.00030920000000000003,82.747,1.942875643412559,-8.081522241251006,4.415787759823553
14,0.00033460999999999994,81.484,1.9984338212054302,-8.002544883426582,4.400406681955311
15,0.00035993,80.189,2.0404515290597915,-7.929600989865334,4.3843863483583405
16,0.00038572,78.948,2.0778868144375946,-7.86039884032209,4.368789407891861
17,0.00041291999999999994,77.745,2.1062790440517163,-7.792256688366885,4.353434240309779
18,0.00044295,76.522,2.156888538651956,-7.722053661106233,4.337578281188146
19,0.00047355000000000005,75.359,2.176891788274708,-7.655253054292164,4.322263360540999
20,0.00050603,74.162,2.197404055831468,-7.5889146018967555,4.306251889610239
21,0.0005393300000000001,72.987,2.220757249850321,-7.525182929502762,4.290281343098094
22,0.00057589,71.826,2.2353345880920643,-7.459593887728122,4.274246527497287
23,0.0006152999999999999,70.689,2.242611938857971,-7.393400604217829,4.258289973810346
24,0.0006565,69.533,2.2618636181315233,-7.328587864221423,4.2418014600232175
25,0.00070077,68.409,2.271757002823999,-7.263330827477568,4.225504394920123
26,0.0007480200000000001,67.286,2.3003250847424797,-7.198080842379335,4.20895219123659
27,0.0007978700000000001,66.191,2.3116796626831455,-7.1335648810534655,4.192544502039066
28,0.0008527599999999999,65.084,2.3083050648196988,-7.067032409967933,4.175678743277072
29,0.0009092200000000001,63.964,2.2842771114560336,-7.0029234688675075,4.1583204250971955
30,0.0009706200000000001,62.883,2.284410105372835,-6.937575515394617,4.141275856906533
31,0.00103755,61.803,2.3011924053599877,-6.87089311424957,4.123951906974758
32,0.00110905,60.743,2.3139371869835412,-6.804251485967476,4.106651849244145
33,0.00118878,59.686,2.3179251016322286,-6.734827707830052,4.089097487035111
34,0.0012734600000000001,58.631,2.324272196030672,-6.666017673539425,4.071263566945287
35,0.0013725,57.576,2.3284427512064036,-6.591121384580588,4.053105814205503
36,0.0014715400000000001,56.531,2.3200046166810573,-6.521445807513753,4.034789160253009
37,0.0015932299999999997,55.485,2.310652313550032,-6.44199187680645,4.016112713952527
38,0.00172512,54.451,2.3132120417181707,-6.36245866570097,3.997301214683237
39,0.00187723,53.428,2.304371091236419,-6.277957992923042,3.978334953114859
40,0.0020340600000000003,52.395,2.311345347912621,-6.197721483265768,3.958811166926905
41,0.002209469999999999,51.366,2.310277338628716,-6.115002611218177,3.9389764749884035
42,0.002416309999999998,50.342,2.3109254372169548,-6.025513695882477,3.9188397187550685
43,0.0026504799999999954,49.322,2.3077351758036797,-5.93301452331097,3.8983702289743594
44,0.0029225999999999914,48.305,2.306359532747289,-5.8352816479237255,3.877535074969473
45,0.0032405299999999815,47.291,2.3099036028922626,-5.732018382308781,3.8563200025518953
46,0.00360188999999997,46.282,2.3073360829752994,-5.6262965712843656,3.83475311660348
47,0.004041299999999955,45.266,2.2996809632060993,-5.511188856591653,3.812556198807534
48,0.004557009999999936,44.261,2.2991661891140374,-5.391088572276656,3.7901039281317894
49,0.00519029999999991,43.254,2.2971201015098797,-5.260963780006705,3.7670897146504965
50,0.006023269999999874,42.245,2.293956677279943,-5.112124977766601,3.743486003604808
51,0.0069967799999998345,41.237,2.2939252588288688,-4.962305235759304,3.7193359115948637
52,0.008749459999999968,40.233,2.293462659598139,-4.7387632948027365,3.694687554396913
53,0.01061945999999993,39.228,2.294620073406768,-4.545067111918754,3.669390777530074
54,0.013431710000000104,38.225,2.2916427790182805,-4.310136949672243,3.643489751815126
55,0.017162790000000143,37.224,2.291085566510573,-4.065011610725626,3.616953714542347
56,0.022809989999999808,36.22,2.2901626241044206,-3.7805566810901534,3.589611452455267
57,0.033025269999998975,35.218,2.2912279951427195,-3.4104822529826726,3.5615573155385865
58,0.04734088000000369,34.216,2.2914175949823274,-3.0503810861378566,3.5326933709246076
59,0.08216304999978076,33.214,2.290294620665527,-2.4990495913660933,3.5029714737845614
60,0.15173014999926424,32.214,2.290294620665527,-1.8856516648521573,3.4724011406684876
61,0.3094674799976635,31.213,2.2914802818008018,-1.1729022650834589,3.440834674700653
62,0.6305110600099688,30.213,2.2914802818008018,-0.4612245820815807,3.4082722953341174
63,1.1654837537682454,29.22022022022022,2.2768222131585536,0.1531362401157374,3.374860942920444
64,2.204695221378869,28.249496981891348,2.2435147105122666,0.7905892777484392,3.341075651483173
65,3.7660760795423878,27.310590631364562,2.1861089245049086,1.3260336317150272,3.3072745621783226
66,5.952074408285272,26.46511627906977,2.067472663417366,1.7837397988446637,3.275827498992714
67,8.602004356420874,25.67189249720045,1.9260034661596255,2.151995240804206,3.2453967162481665
